sample_id,history_len,target_sid,target_rank,exact_hit,prefix_hit,first_err_pos,legal_top20
447,0,"[39, 14, 48, 0]",-1,0,0,0,1
448,0,"[12, 8, 58, 0]",-1,0,0,0,1
449,0,"[37, 113, 153, 0]",-1,0,0,0,1
450,0,"[51, 79, 41, 0]",-1,0,0,0,1
451,0,"[13, 30, 70, 0]",-1,0,0,0,1
452,0,"[38, 76, 48, 0]",-1,0,0,0,1
453,0,"[13, 2, 154, 0]",-1,0,0,0,1
454,0,"[4, 87, 230, 0]",-1,0,0,0,1
455,0,"[6, 67, 89, 0]",-1,0,0,0,1
456,0,"[39, 114, 129, 0]",-1,0,0,0,1
457,0,"[51, 64, 248, 0]",-1,0,0,0,1
458,0,"[46, 105, 250, 0]",-1,0,0,0,1
459,0,"[24, 38, 60, 0]",-1,0,0,0,1
460,0,"[42, 33, 247, 0]",-1,0,0,0,1
461,0,"[38, 61, 102, 0]",-1,0,0,0,1
462,0,"[57, 104, 15, 0]",-1,0,0,0,1
463,0,"[24, 70, 216, 0]",-1,0,0,0,1
464,0,"[39, 42, 4, 0]",-1,0,0,0,1
465,0,"[7, 101, 2, 0]",-1,0,0,0,1
466,0,"[63, 3, 236, 0]",-1,0,0,0,1
467,0,"[30, 27, 117, 0]",-1,0,0,0,1
468,0,"[43, 46, 113, 0]",-1,0,0,0,1
469,0,"[8, 62, 238, 0]",-1,0,0,0,1
470,0,"[38, 94, 93, 0]",-1,0,0,0,1
471,0,"[22, 61, 252, 0]",-1,0,0,0,1
472,0,"[54, 82, 107, 0]",-1,0,0,0,1
473,0,"[22, 36, 111, 0]",-1,0,0,0,1
