sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
369,0,0,0,0,0,0,1,1,0,0,21,21
370,0,0,0,0,0,1,1,1,0,0,21,21
371,0,0,0,0,0,1,1,1,0,0,21,21
372,0,0,0,0,0,0,1,1,0,0,21,21
373,0,1,0,1,0,1,1,1,0,1,21,1
374,0,0,0,0,0,1,1,1,0,0,21,21
375,0,0,0,0,0,1,1,1,0,0,21,21
376,0,0,0,0,0,1,1,1,0,0,21,21
377,0,0,0,0,0,1,1,1,0,0,21,21
378,0,0,0,0,0,1,1,1,0,0,21,21
379,0,0,0,0,0,1,1,1,0,0,21,21
380,0,1,0,1,0,1,1,1,0,1,21,1
381,0,0,0,0,0,0,1,1,0,0,21,21
382,0,0,0,0,0,0,1,1,0,0,21,21
383,0,0,0,0,0,0,1,1,0,0,21,21
384,0,0,0,0,0,1,1,1,0,0,21,21
385,0,0,0,0,0,0,1,1,0,0,21,21
386,0,0,0,0,0,1,1,1,0,0,21,21
387,0,0,0,0,0,1,1,1,0,0,21,21
388,0,0,0,0,0,0,1,1,0,0,21,21
389,0,0,0,0,0,0,1,1,0,0,21,21
390,0,0,0,0,0,1,1,1,0,0,21,21
391,0,0,0,0,0,0,1,1,0,0,21,21
392,0,0,0,0,0,0,1,1,0,0,21,21
393,0,0,0,0,0,1,1,1,0,0,21,21
394,0,0,0,0,0,0,1,1,0,0,21,21
395,0,0,0,0,0,0,1,1,0,0,21,21
396,0,0,0,0,0,1,1,1,0,0,21,21
397,0,0,0,0,0,1,1,1,0,0,21,21
398,0,1,0,1,0,1,1,1,0,0,21,2
399,0,1,0,1,0,1,1,1,0,0,21,2
400,0,0,0,0,0,1,1,1,0,0,21,21
401,0,0,0,0,0,0,1,1,0,0,21,21
402,0,0,0,0,0,1,1,1,0,0,21,21
403,0,0,0,0,0,0,1,1,0,0,21,21
404,0,0,0,0,0,1,1,1,0,0,21,21
405,0,0,0,0,0,0,1,1,0,0,21,21
